Big	Grande<br>Questa scarpa è più grande dell’altra.<br>This shoe is bigger than the other one.
Unpleasant	Spiacevole<br>È uno spiacevole malinteso.<br>It is an unpleasant misunderstanding.
Generous	Generoso<br>Il mio capo è sempre generoso con i premi.<br>My boss is always generous with rewards.
Mean	Cattivo<br>Se dovessi descriverlo, direi che è un uomo cattivo.<br>Should I describe him, I would tell he is a mean man.
Optimistic	Ottimista<br>Cerca di essere più ottimista. Il futuro sarà più luminoso se sorridi.<br>Try to be more optimistic. The future will be brighter if you smile.
Pessimistic	Pessimista<br>È sempre pessimista sui suoi risultati dei test di matematica.<br>She is always pessimistic about her maths test results.
Cheerful	Allegro<br>Un amico allegro è una grande risorsa.<br>A cheerful friend is a great resource.
Miserable	Infelice<br>Sembrava così infelice quando era a dieta.<br>He looked so miserable when he was on a diet.
Happy	Contento<br>Sono così felice del suo regalo.<br>I am so happy about his present.
Sad	Triste<br>La sua storia è davvero triste.<br>His story is really sad.
Sensitive	Sensibile<br>La mia gola è sensibile e si irrita facilmente.<br>My throat is sensitive and gets irritated easily.
Insensitive	Insensibile<br>Era così insensibile alla malattia di sua madre.<br>He was so insensitive to his mother's illness.
Honest	Onesto<br>Sii onesto! Sei stato tu a rubarmi le scarpe.<br>Be honest! It was you who stole my shoes.
Dishonest	Disonesto<br>I nostri politici sono disonesti e poco concentrati sul bene comune.<br>Our politicians are dishonest and too little focused on the common good.
Lazy	Pigro<br>Come puoi essere così pigro alla tua età?<br>How can you be so lazy at your age?
Energetic	Energico<br>Il mio cane è così energico.<br>My dog is so energetic.
Hard-working	Diligente<br>Anche se è un lavoratore stagionale, è molto diligente.<br>Even if he is a seasonal worker, he is very hard-working.
Self-confident	Sicuro di sé<br>Era sicura di sé durante l'intervista e quindi ha ottenuto il lavoro.<br>She was self-confident during the interview, and therefore she got the job
Insecure	Insicuro<br>Mi sento insicuro a guidare.<br>I feel insecure when I drive
Shy	Timido<br>Era così timido qualche anno fa.<br>He was so shy a few years ago.
Tired	Stanco<br>Mi sento così stanco oggi, non ho dormito per niente stanotte.<br>I feel so tired today, I did not sleep at all last night.
Active	Attivo<br>È un ragazzo molto attivo. Fa parte di 5 club diversi a scuola.<br>He is a very active boy. He takes part in 5 different school clubs.
Satisfied	Soddisfatto<br>Sei soddisfatto dei risultati?<br>Are you satisfied with the results?
Dissatisfied	Insoddisfatto<br>Perché sei cosi insoddisfatto dei risultati dei test?<br>Why are you so dissatisfied with your test results?
Unsatisfied	Insoddisfatto<br>Sono assolutamente insoddisfatto della mia performance.<br>I am totally unsatisfied with my performance.
Poor	Povero<br>È così povero. Non può permettersi un nuovo paio di scarpe.<br>He is so poor. He can’t afford a new pair of shoes.
Rich	Ricco<br>È un piatto molto ricco. Non ho più fame, grazie.<br>It is a very rich dish. I'm not hungry anymore, thank you.
Popular	Popolare<br>La costiera amalfitana è una destinazione turistica molto popolare.<br>The Amalfi coast is a very popular tourist destination.
Famous	Famoso<br>È un giornalista famoso e gira per il mondo.<br>He is a famous journalist and travels around the world.
Relaxing	Rilassante<br>A volte è più rilassante andare al lavoro che stare a casa a pulire.<br>Sometimes it's more relaxing going to work than staying home and cleaning up.
Relaxed	Rilassato<br>Quando sono in vacanza sono molto rilassato.<br>When I'm on holiday I'm very relaxed.
Nervous	Nervoso<br>Oggi mi sento molto nervoso. Sarà il caldo.<br>Today I feel very nervous. It might be the hot weather.
Anxious	Ansioso<br>Mi sento sempre ansioso prima di un concerto.<br>I always feel anxious before a concert.
Funny	Buffo<br>Quel bambino è davvero buffo!<br>That child is really funny!
Serious	Serio<br>Perché sei così serio? Cosa è successo?<br>Why are you so serious? What happened?
Calm	Calmo<br>Ha cercato di stare calmo ma poi ha iniziato a urlare.<br>He tried to keep calm but then he started shouting.
Short-tempered	Irascibile<br>È così irascibile che si fa fatica a parlargli.<br>He is so short-tempered that it's hard to talk to him.
Cool	Calmo<br>È stato capace di stare calmo durante l’intervista.<br>He was able to play it cool at the interview.
Scared	Spaventato<br>Un grosso cane mi ha spaventato in passato.<br>I was scared by a big dog in the past.
Afraid	Spaventato<br>Sei così pallido! Sei spaventato?<br>You are so pale! Are you afraid?
Ugly	Brutto<br>È quello il ragazzo di Ilaria? È davvero brutto.<br>Is that Ilaria’s boyfriend? He is really ugly.
Beautiful	Bello<br>Quando apri la finestra, godrai di un bellissimo paesaggio.<br>When you open the window, you will enjoy a beautiful landscape.
Far	Lontano<br>Non andare troppo lontano con la macchina. Sta finendo la benzina.<br>Don’t go too far with the car. It’s running out of petrol.
Near	Vicino<br>Hanno comprato un appartamento vicino ai loro genitori.<br>They bought an apartment near their parents.
Incorrect	Sbagliato<br>Se dai una risposta sbagliata, perdi un punto.<br>If you give an incorrect answer, you will lose one mark.
Correct	Corretto<br>Se mi dai la risposta corretta, ti do 5 euro.<br>If you give me the correct answer, I will give you 5 euros.
Silver	Argentato<br>Un pesce argentato nuotava attraverso il lago.<br>A silver fish swam across the lake.
Gold	Dorato<br>Voglio comprare quella maglietta dorata che ho visto ieri.<br>I want to buy the gold t-shirt I saw yesterday.
Exciting	Entusiasmante<br>La tua idea è entusiasmante!<br>Your idea is exciting!
Excited	Entusiasta<br>Sono così entusiasta di trasferirmi a New York!<br>I am so excited to move to New York!
Insignificant	Insignificante<br>Penso che lei mi consideri insignificante.<br>I think she considers me insignificant.
Late	Tardi<br>È troppo tardi per prenotare una camera per domani sera?<br>Is it too late to book a room for tomorrow night?
Busy	Occupato<br>Sei libero per pranzo? No, sono occupato fino a stasera.<br>Are you free for lunch? No, I'm busy until tonight.
Sweet	Dolce<br>Quel bambino è così dolce. Manda sempre baci a tutti.<br>That child is so sweet. He always blows kisses at everyone.
Crowded	Affollato<br>Il centro commerciale oggi è molto affollato.<br>The shopping centre is very crowded today.
Important	Importante<br>È molto importante leggere in un’altra lingua.<br>It is very important to read in another language.
Disgusting	Disgustoso<br>Il suo atteggiamento è veramente disgustoso!<br>His behaviour is really disgusting!
Thirsty	Assetato<br>“Hai fame?” “No, sono solo assetato”<br>"Are you hungry?" "No, I'm just thirsty”
Overbearing	Prepotente<br>Non ho mai conosciuto una persona così prepotente in tutta la mia vita.<br>I've never met such a overbearing person in my life.
Upset	Turbato<br>È rimasto turbato dall’atteggiamento della figlia.<br>He was upset by his daughter's attitude.
Sly	Scaltro<br>Devi essere scaltro per sopravvivere in questo ufficio di avvoltoi.<br>You have to be sly to survive in this office of vultures.
Annoying	Irritante<br>Il suo modo di scherzare è irritante.<br>His way of joking is annoying.
Hopeful	Fiducioso<br>Sono fiducioso di trovare un nuovo lavoro tra qualche settimana.<br>I am hopeful to find a new job in a few weeks.
Angry	Arrabbiato<br>Sono così arrabbiato per il suo comportamento.<br>I'm so angry about her behaviour.
Scary	Spaventoso<br>È saltata giù dal ponte ed è stato così spaventoso.<br>She jumped down a bridge and it was so scary.
Painful	Doloroso<br>Perdere un genitore è sempre doloroso.<br>Losing a parent is always painful.
Embarrassed	Imbarazzato<br>Era così imbarazzato dopo averle mentito.<br>He was so embarrassed after having lied to her.
Bright	Luminoso<br>Oggi il cielo è così luminoso.<br>Today the sky is so bright.
Dense	Fitto<br>La mia agenda è così fitta oggi.<br>My agenda is so dense today.
Strict	Severo<br>La mia insegnante ha stabilito regole molto severe per la classe.<br>My teacher set up very strict rules for the class.
Outstanding	Eccezionale<br>Hai ottenuto risultati eccezionali quest'anno!<br>You got outstanding results this year!
Great	Grande<br>È un uomo con una grande intelligenza, ma è antipatico.<br>He is a man with great intelligence, but he is unpleasant.
Clever	Intelligente<br>Il più intelligente della classe riceverà un premio alla fine dell'anno.<br>The cleverest in the class will receive an award at the end of the year.
Remarkable	Notevole<br>È una donna con un notevole senso dell'umorismo.<br>She is a woman with a remarkable sense of humor.
Lively	Vivace<br>Riccione è una vivace città di mare.<br>Riccione is a lively seaside town.
Cunning	Furbo<br>È furbo come una volpe.<br>He is as cunning as a fox.
Proud	Orgoglioso<br>Tutto quello che voleva era che suo padre fosse orgoglioso di lui.<br>All he wanted was his father to be proud of him.
Humorous	Divertente<br>Mi trovi divertente?<br>Do you find me humorous?
Vast	Vasto<br>Il Sahara è un deserto molto vasto.<br>Sahara is a very vast desert.
Fine	Fine<br>I tuoi capelli sono troppo fini per essere intrecciati in quel modo.<br>Your hair is too fine to be braided like that.
Long	Lungo<br>È stato un viaggio così lungo.<br>It was such a long journey.
Neat	Ordinato<br>Non sono mai stato capace di scrivere in modo ordinato.<br>I have never been able to write neatly.
Wavy	Ondulato<br>Ha I capelli neri e ondulati.<br>She has got dark, wavy hair.
Dizzy	Stordito<br>Quel bambino era stordito dopo aver girato in tondo.<br>That child was dizzy after spinning around in circles.
Fly over	Sorvolare<br>Quell'aereo sorvola la nostra casa da ore.<br>That plane has been flying over our house for hours.
Arrival	Arrivo<br>Ti vengo a prendere in aeroporto al tuo arrivo.<br>I'm coming to pick you up at the airport at your arrival.
Cabin	Cabina<br>I passeggeri in cabina devono allacciare le cinture di sicurezza.<br>Passengers in the cabin must fasten their seatbelts.
Departure	Partenza<br>La partenza è prevista per domani alle 10:00.<br>The departure is scheduled for tomorrow at 10 am.
Passport	Passaporto<br>Il suo passaporto, per favore.<br>Your passport, please.
Passenger	Passeggero<br>Un passeggero sul volo per Napoli non voleva allacciare le cinture.<br>A passenger on the flight to Naples did not want to fasten his seatbelts.
Seat	Posto<br>“Qual è il tuo posto?" “A59”<br>"What is your seat?" "A59"
Flight	Volo<br>Il volo è in ritardo di 30 minuti.<br>The flight is 30 minutes late.
Seat Number	Numero di posto<br>Qual è il tuo numero di posto? Magari sei accanto a me.<br>What is your seat number? Maybe you're next to me.
Time difference	Fuso orario<br>Quanto è il fuso orario tra Roma e Dubai?<br>What is the time difference between Rome and Dubai?
Economy class	Classe economica<br>“Viaggia in classe economica?" “No, in business”<br>“Are you travelling in economy class?" "No, in business class"
Sick bag	Sacchetto per il mal d’aria<br>“Ha bisogno di un sacchetto per il mal d’aria?" “Si, per favore”<br>"Do you need a sick bag?" "Yes, please"
Luggage pick up area	Area recupero bagagli<br>I passeggeri sono invitati a recarsi all’area di recupero bagagli.<br>Passengers are advised to go to the luggage pick up area.
Terminal	Terminal<br>Dove atterri? Terminal 1 o 2?<br>Where are you landing? Terminal 1 or 2?
Plane ticket	Biglietto aereo<br>Se solo potessi comprare un biglietto aereo per le Hawaii!<br>If only I could buy a plane ticket to Hawaii!
Board	Salire a bordo<br>I passeggeri sono pregati di salire a bordo immediatamente.<br>Passengers are asked to board immediately.
Boarding gate	Cancello d’imbarco<br>Qual è il cancello d’imbarco per il nostro volo?<br>What is the boarding gate for our flight?
Land	Atterrare<br>Dovremmo atterrare in orario.<br>We should land on time.
Aisle seat	Posto corridoio<br>Preferisce un posto finestrino o un posto corridoio?<br>Would you like a window or an aisle seat?
Window seat	Posto finestrino<br>Secondo me, il posto finestrino è il peggiore.<br>In my opinion, the window seat is the worst.
Emergency exit	Uscita d’emergenza<br>Vi mostro l’uscita d’emergenza, nel caso ci fosse bisogno.<br>I’ll show you the emergency exit, in case of need.
Duty-free	Duty free<br>Vado al duty free a comprare un regalo per mia mamma.<br>I am going to the duty-free shop to buy a present for my mum.
Luggage check	Controllo bagagli<br>L’area controllo bagagli è laggiù.<br>The luggage check area is over there.
Declaration form	Modulo di dichiarazione<br>Firma il modulo di dichiarazione in basso, per favore.<br>Sign the declaration form at the bottom, please.
Boarding pass	Carta di imbarco<br>Mostra la tua carta di imbarco al gate.<br>Show you boarding pass at the gate.
Flight number	Numero di volo<br>I passeggeri sono pregati di verificare il numero di volo.<br>Passengers are invited to check their flight number.
Suitcase	Valigia<br>La mia valigia è troppo grande come un bagaglio a mano?<br>Is my suitcase too big as a hand luggage?
Aisle	Corsia<br>Vorrei un posto in corsia, per favore.<br>I would like an aisle seat, please.
Luggage	Bagaglio<br>Lascia il tuo bagaglio qui e chiedi del gate.<br>Leave your luggage here and ask for the gate.
Departing gate	Cancello d’imbarco<br>Puoi controllare il tuo cancello d’imbarco su quello schermo.<br>You can check your departing gate on that screen.
Cancel	Cancellare<br>La compagnia aerea ha deciso di cancellare venti voli.<br>The airline decided to cancel twenty flights.
Hangar	Hangar<br>Ha un hangar personale per i suoi aerei.<br>He has a personal hangar for his planes.
Take off	Decollare<br>Stasera nessun aereo sarà autorizzato a decollare.<br>Tonight no planes will be allowed to take off.
Freight	Carico<br>L’aereo trasportava il carico in tutto il mondo.<br>The plane carried freight across the world.
Seat belt	Cintura di sicurezza<br>Allacciare la cintura di sicurezza prima dell’atterraggio.<br>Fasten your seat belt before landing.
Confiscate	Confiscare<br>È in mio potere confiscare qualsiasi merce potenzialmente pericolosa.<br>It’s in my power to confiscate any possibile dangerous goods.
Declare	Dichiarare<br>Nulla da dichiarare?<br>Anything to declare?
Contraband	Contrabbando<br>Per evitare il contrabbando, gli agenti devono ispezionare tutte le borse.<br>To avoid contraband, police officers must inspect any bags.
Customs	Dogana<br>Ho dovuto lasciare le sigarette che ho comprato alla dogana.<br>I had to leave the cigarettes I bought at the customs.
Illegal	Illegale<br>Sospetto che Lei gestisca una attività illegale.<br>I suspect you run an illegal business.
Visa	Visto<br>Sai come ottenere un visto per gli Stati Uniti?<br>Do you know how to get a visa for the US?
Connecting flight	Prendere la coincidenza<br>Ho dovuto prendere la coincidenza a Monaco per andare a Los Angeles.<br>I had to take a connecting flight in Munich on my way to Los Angeles.
Identification	Documento d’identità<br>Prima di salire a bordo ti verrà chiesto di fornire un documento d'identità.<br>Before boarding, you will be asked to provide some identification.
Bee	Ape<br>Attento! C’è un’ape nel tuo panino.<br>Look out There's a bee in your sandwich.
Eagle	Aquila<br>L’emblema della mia famiglia è un’aquila.<br>The emblem of my family is an eagle.
Vulture	Avvoltoio<br>Guardati le spalle! Questo posto è pieno di avvoltoi.<br>Watch your back! This place is full of vultures.
Whale	Balena<br>La caccia alla balena dovrebbe essere assolutamente vietata!<br>Whale hunting should be absolutely forbidden!
Caterpillar	Bruco<br>Ho appena trovato un bruco nella mela che stavo mangiando!<br>I have just found a caterpillar in the apple I was eating!
Dog	Cane<br>Se il tuo cane abbaia troppo, i vicini potrebbero arrabbiarsi.<br>If your dog barks too much, the neighbours might get angry.
Goat	Capra<br>Preferisci il latte di capra o quello di mucca?<br>Do you prefer goat's or cow's milk?
Horse	Cavallo<br>Ha un cavallo che tiene in una stalla in campagna.<br>He has a horse, which is kept in a stable in the countryside.
Cicada	Cicala<br>Il suono della cicala è tipico delle notti d’estate.<br>The sound of the cicada is typical of summer nights.
Swan	Cigno<br>Ho visto un cigno meraviglioso nel laghetto del parco.<br>I saw a wonderful swan in the park's pond.
Crocodile	Coccodrillo<br>Non mi piacciono le borse di coccodrillo. Amo gli animali.<br>I do not like crocodile bags. I love animals.
Rabbit	Coniglio<br>C'è un coniglio che gira libero nel parco giochi. Non spaventarlo!<br>There is a rabbit running free on the playground. Do not scare it!
Dolphin	Delfino<br>Nuota come un delfino!<br>She swims like a dolphin!
Elephant	Elefante<br>L’elefante è un mezzo di trasporto in molti paesi.<br>The elephant is a means of transport in many countries.
Seal	Foca<br>La foca in questo acquario è una vera attrazione!<br>The seal in this aquarium is a real attraction!
Ant	Formica<br>Conosci la storia della cicala e la formica? È molto famosa.<br>Do you know the story of the cicada and the ant? It is very famous.
Seagull	Gabbiano<br>Un gabbiano ha mangiato il mio panino!<br>A seagull has eaten my sandwich!
Cat	Gatto<br>Il mio gatto non esce mai di casa. È abituato così.<br>My cat never leaves home. He is used to it.
Giraffe	Giraffa<br>Ha il collo da giraffa. Forse per questo è più alta degli altri.<br>She has got a giraffe neck. This is probably why she is taller than the others.
Lion	Leone<br>I tuoi capelli sembrano la criniera di un leone.<br>Your hair looks like a lion's mane.
Lioness	Leonessa<br>Difende i suoi figli come una leonessa.<br>She protects her sons like a lioness.
Lizard	Lucertola<br>Ieri una lucertola è entrata in casa e non se ne voleva andare.<br>Yesterday a lizard entered my house and did not want to get out.
Wolf	Lupo<br>Ha un tatuaggio con un lupo sulla spalla destra.<br>He has a tattoo with a wolf on his right shoulder.
Pig	Maiale<br>Il maiale è diventato un animale domestico. Molta gente ne ha uno in casa.<br>The pig has recently become a pet. Many people have one at home.
Jellyfish	Medusa<br>La medusa è un animale molto bello ma anche pericoloso.<br>Jellyfish is a very beautiful but also dangerous animal.
Bear	Orso<br>Ho visto un orso polare allo zoo. Sembrava così triste.<br>I saw a polar bear at the zoo. It looked so sad.
Peacock	Pavone<br>In quel parco c’è un pavone che fa una ruota magnifica.<br>In that park, there is a peacock with a magnificent wheel.
Sheep	Pecora<br>La lana di pecora può creare allergia.<br>Sheep wool can be allergenic.
Fish	Pesce<br>Il pesce fresco arriva tutte le mattine al mercato.<br>Fresh fish is delivered every morning to the market.
Chicken	Pollo<br>Sono molte le ricette italiane a base di pollo.<br>There are many Italian recipes based on chicken.
Spider	Ragno<br>Quel ragno ha costruito una ragnatela stupefacente.<br>That spider has built an amazing web.
Frog	Rana<br>In quello stagno ho visto una rana enorme.<br>I saw a huge frog in that pond.
Salmon	Salmone<br>Per pranzo ho mangiato un toast con salmone e avocado.<br>I had a salmon and avocado toast for lunch.
Turkey	Tacchino<br>Tra pollo e tacchino, preferisco il primo.<br>Between chicken and turkey, I prefer the first one.
Tiger	Tigre<br>Gli occhi della tigre sono qualcosa di unico.<br>Tiger’s eyes are something unique.
Mouse	Topo<br>Gatto e topo non vanno molto d’accordo.<br>Cat and mouse do not get along very well.
Bird	Uccello<br>Quell’uccello mi sveglia tutte le mattine con il suo cinguettio.<br>That bird wakes me up every morning with its twitter.
Worm	Verme<br>Ho appena visto un verme in quella ciliegia. Non mangiarla!<br>I have just seen a worm in that cherry. Do not eat it!
Mosquito	Zanzara<br>Quella zanzara mi ha infastidito per tutta la notte.<br>That mosquito has bothered me for the whole night.
Zebra	Zebra<br>Che verso fa la zebra?<br>What does a zebra's call sound like?
Duck	Anatra<br>Quel ristorante è famoso per l’anatra all’arancia.<br>That restaurant is famous for the duck with orange.
Hamster	Criceto<br>Voleva un cane, ma le hanno regalato un criceto.<br>She wanted a dog, but she was given a hamster.
Crab	Granchio<br>La pasta con il granchio è una delle specialità di quel ristorante.<br>Pasta with crab is one of the specialties of that restaurant.
Lobster	Aragosta<br>L’aragosta è un piatto molto raffinato, per questo anche molto costoso.<br>Lobster is a very refined dish, therefore it is also very expensive.
Deer	Cervo<br>Penso che esporre le corna di cervo sia brutale.<br>I think that exposing the deer's horns is something brutal.
Rooster	Gallo<br>Quel gallo mi sveglia ogni mattina alle 6:00 in punto!<br>That rooster wakes me up every morning at 6.00 o'clock!
Squid	Calamaro<br>“È pronto per ordinare?” “Si, prenderò il calamaro”<br>“Ready to order?” “Yes, I'll take the squid"
Octopus	Polpo<br>Le ventose del polpo si attaccano al palato.<br>Octopus suckers stick to the palate.
Buffalo	Bufalo<br>C’è un allevamento di bufali a 20 km.<br>There is a buffalo breeding farm at 20 km.
Cheetah	Ghepardo<br>Corre come un ghepardo!<br>He runs like a cheetah!
Shrimp	Gambero<br>Del gambero, preferisco la coda.<br>What I like most of shrimps is the tail.
Cow	Mucca<br>Il latte di mucca a volte è difficile da digerire, anche se è molto buono.<br>Cow's milk is sometimes difficult to digest, even if it is very good.
Gnat	Moscerino<br>L’ha schiacciato come un moscerino.<br>She crushed him like a gnat.
Beetle	Scarabeo<br>Lo scarabeo ama le luci estive.<br>Beetle loves summer lights.
Cricket	Grillo<br>Quel grillo canta troppo di notte.<br>That cricket sings too much at night.
Cockroach	Scarafaggio<br>C'è uno scarafaggio vicino alla spazzatura. Spero sia l'unico.<br>There is a cockroach near the garbage. I hope it is the only one.
Snake	Serpente<br>Molte persone comprano un serpente e non sono consapevoli dei rischi.<br>Many people buy a snake and are not aware of the risks.
Turtle	Tartaruga<br>È dannoso liberare una tartaruga nel fiume.<br>It’s harmful to free a turtle in the river.
Pigeon	Piccione<br>Un piccione è entrato in chiesa e ha volato sopra le teste delle persone.<br>A pigeon went inside the church and flew over people’s heads.
Crow	Corvo<br>Ha sparato a un corvo con una pistola.<br>He shot a crow with a gun.
Fly	Mosca<br>Quella mosca mi sta davvero infastidendo.<br>That fly is really annoying me.
Quail	Quaglia<br>La quaglia è simile a un uccellino.<br>The quail is similar to a little bird.
Fox	Volpe<br>La caccia alla volpe era molto popolare nel passato.<br>Fox hunting was very popular in the past.
Wild boar	Cinghiale<br>Ha un cinghiale come animale domestico.<br>He has a wild boar as a pet.
Bat	Pipistrello<br>Grazie a quel pipistrello, non ci sono zanzare qui.<br>Thanks to that bat, there are no mosquitoes here.
Gorilla	Gorilla<br>Lavora in un centro di protezione per i gorilla.<br>She works in a rescue centre for gorillas.
Anteater	Formichiere<br>Non potevo immaginare che il formichiere fosse così grande!<br>I couldn’t imagine the anteater was so big!
Raccoon	Procione<br>Il procione è capace di fare scherzi cattivi.<br>The raccoon is capable of making naughty pranks.
Beaver	Castoro<br>Il castoro è originario del Canada.<br>The beaver is native to Canada.
Jaguar	Giaguaro<br>Vorrei essere agile come un giaguaro.<br>I wish I was as agile as a jaguar.
Inchworm	Bruco<br>Un bruco diventa farfalla?<br>Does an inchworm become a butterfly?
Ladybug	Coccinella<br>Guarda! C’è una coccinella sulla tua spalla!<br>Look! There’s a ladybug on your shoulder!
